date,open_interest,managed_long,managed_short,producer_long,producer_short,swap_long,swap_short,other_long,other_short,managed_net,producer_net,swap_net,other_net,managed_net_pct,producer_net_pct,swap_net_pct,format
2000-01-04,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-05,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-06,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-07,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-08,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-09,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-10,394371.0,53801.0,50708.0,235685.0,203693.0,,,78246.0,113331.0,3093.0,31992.0,,-35085.0,0.7842868770776756,8.112158348357259,,Legacy
2000-01-11,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
2000-01-12,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
2000-01-13,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
2000-01-14,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
2000-01-15,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
2000-01-16,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
2000-01-17,414897.0,64791.0,41886.0,231859.0,225888.0,,,86593.0,115469.0,22905.0,5971.0,,-28876.0,5.520647293183609,1.4391523679371026,,Legacy
